pattern,mode,supported,p50_ms,p95_ms,mean_ms,stddev_ms,rows_returned,error_count,reason
Q1 SELECT,M0 Raw PostgreSQL,True,0.2217845,0.30587,0.23351044,0.08706003696591451,10,0,
Q1 SELECT,M1 Role-only read-only credential,True,0.241689,0.325878,0.24876324,0.08870203581813892,10,0,
Q1 SELECT,M2 Safe-view-only,True,14.315921,16.836415,14.661836599999999,1.1286738014335762,10,0,
Q1 SELECT,M3 RLS-only,False,,,,,,,Not supported by current prototype.
Q1 SELECT,M4 SessionBound without receipts,True,15.084869000000001,17.149445,15.35551515,1.0076902606112395,10,0,
Q1 SELECT,M5 SessionBound without budget updates,True,14.55396,15.985845,14.69835378,0.7664335626050126,10,0,
Q1 SELECT,M6 SessionBound full,True,14.671723,16.090116,14.75916693,0.7671215104765899,10,0,
Q2 JOIN,M0 Raw PostgreSQL,True,0.16724050000000001,0.297452,0.19975415000000002,0.07897447780902067,10,0,
Q2 JOIN,M1 Role-only read-only credential,True,0.170659,0.322101,0.20299707,0.0957692112705597,10,0,
Q2 JOIN,M2 Safe-view-only,True,17.473953,19.168608,17.57485907,0.8845230397352152,10,0,
Q2 JOIN,M3 RLS-only,False,,,,,,,Not supported by current prototype.
Q2 JOIN,M4 SessionBound without receipts,True,18.445268499999997,20.7666,18.66613056,1.14807436247199,10,0,
Q2 JOIN,M5 SessionBound without budget updates,True,18.481823,22.304001,18.7821104,1.4473609136148247,10,0,
Q2 JOIN,M6 SessionBound full,True,18.859493,19.856624,18.82322856,0.7046327313807855,10,0,
Q3 GROUP BY,M0 Raw PostgreSQL,True,0.17445100000000002,0.289377,0.19865012,0.0882818572490724,24,0,
Q3 GROUP BY,M1 Role-only read-only credential,True,0.20825100000000002,0.338185,0.22277626,0.08319724440384069,24,0,
Q3 GROUP BY,M2 Safe-view-only,True,13.9423265,16.845871,14.58913677,2.6684204683822066,24,0,
Q3 GROUP BY,M3 RLS-only,False,,,,,,,Not supported by current prototype.
Q3 GROUP BY,M4 SessionBound without receipts,True,17.3352295,21.512363,17.88726836,2.6807760558911204,24,0,
Q3 GROUP BY,M5 SessionBound without budget updates,True,15.447981,17.605423,16.07569045,3.5288282397815887,24,0,
Q3 GROUP BY,M6 SessionBound full,True,15.3074995,18.258127,15.754912180000002,1.7938213149130067,24,0,
Q4 CTE,M0 Raw PostgreSQL,True,0.1732195,0.328629,0.20948561999999998,0.115641015250194,21,0,
Q4 CTE,M1 Role-only read-only credential,True,0.2117675,0.330296,0.22847663,0.10705160398701694,21,0,
Q4 CTE,M2 Safe-view-only,True,13.5290635,15.055929,13.68721951,0.8601535710939588,21,0,
Q4 CTE,M3 RLS-only,False,,,,,,,Not supported by current prototype.
Q4 CTE,M4 SessionBound without receipts,True,15.2643045,17.660168,15.62429817,1.5647794999205482,21,0,
Q4 CTE,M5 SessionBound without budget updates,True,14.871466,18.01092,15.47378726,1.9172196098848073,21,0,
Q4 CTE,M6 SessionBound full,True,15.904938999999999,18.922371,15.84606974,1.5358615958408726,21,0,
Q5 window function,M0 Raw PostgreSQL,True,0.415917,0.571709,0.43909370000000003,0.13382046167223455,20,0,
Q5 window function,M1 Role-only read-only credential,True,0.4047345,0.621566,0.43099417,0.1356765035603479,20,0,
Q5 window function,M2 Safe-view-only,True,15.6983405,25.287057,17.221495230000002,3.7228734063558644,20,0,
Q5 window function,M3 RLS-only,False,,,,,,,Not supported by current prototype.
Q5 window function,M4 SessionBound without receipts,True,18.348068499999997,40.366983,21.5670463,9.1285103059756,20,0,
Q5 window function,M5 SessionBound without budget updates,True,18.187648,26.940581,19.63489199,6.907039490134825,20,0,
Q5 window function,M6 SessionBound full,True,17.380046,20.619966,17.69426593,1.7767281388480582,20,0,
