target_rows,actual_rows,mode,pattern,p50_ms,p95_ms,p99_ms,mean_ms,stddev_ms,rows_returned,measurements,errors,error_rate
10000,10000,SessionBound wrapper,GROUP BY,701.688058,768.585042,768.585042,710.5363479,26.215304105457715,10,10,0,0.0
10000,10000,SessionBound wrapper,CTE,698.366493,762.364753,762.364753,707.7316208,26.854850456708405,10,10,0,0.0
10000,10000,SessionBound wrapper,Window,673.8260335,752.435867,752.435867,685.808491,31.530176862754157,50,10,0,0.0
10000,10000,SessionBound native hook/executor,SELECT,660.1668099999999,697.966613,697.966613,662.1455874000001,18.400176890728353,50,10,0,0.0
10000,10000,SessionBound native hook/executor,JOIN,677.3800665,707.364629,707.364629,680.6120033,15.820672904734602,50,10,0,0.0
10000,10000,SessionBound native hook/executor,GROUP BY,683.22942,761.756677,761.756677,685.1957708,28.16214030681538,10,10,0,0.0
10000,10000,SessionBound native hook/executor,CTE,673.1499205,697.139673,697.139673,676.4896885,11.219762854382008,10,10,0,0.0
10000,10000,SessionBound native hook/executor,Window,677.100729,737.609836,737.609836,682.6882373000001,22.03040401691341,50,10,0,0.0
100000,100000,Raw PostgreSQL,SELECT,12.302449,12.568465,12.568465,12.3221819,0.1751002452353795,50,10,0,0.0
100000,100000,Raw PostgreSQL,JOIN,17.157343,20.345897,20.345897,17.460613000000002,1.023760772620245,50,10,0,0.0
100000,100000,Raw PostgreSQL,GROUP BY,63.7198,69.280473,69.280473,64.0701729,1.9541653400542873,10,10,0,0.0
100000,100000,Raw PostgreSQL,CTE,67.39519849999999,73.177329,73.177329,67.3969674,2.4650684416714754,10,10,0,0.0
100000,100000,Raw PostgreSQL,Window,94.561474,99.796951,99.796951,94.92041409999999,2.1977305251239745,50,10,0,0.0
100000,100000,Safe-view-only,SELECT,26.254725,27.146086,27.146086,26.285095300000002,0.46525265984044634,50,10,0,0.0
100000,100000,Safe-view-only,JOIN,24.910756,28.196648,28.196648,25.1342529,1.3387470269898976,50,10,0,0.0
100000,100000,Safe-view-only,GROUP BY,72.818315,74.496491,74.496491,72.50263770000001,1.7346979612525109,10,10,0,0.0
100000,100000,Safe-view-only,CTE,77.4543885,83.521419,83.521419,77.6127674,2.842242977710918,10,10,0,0.0
100000,100000,Safe-view-only,Window,101.25887399999999,110.320441,110.320441,101.3811413,3.637617741209571,50,10,0,0.0
100000,100000,RLS + Safe View + Short Credential + Audit,SELECT,18.695293,19.920235,19.920235,18.7323998,0.654095497704242,50,10,0,0.0
100000,100000,RLS + Safe View + Short Credential + Audit,JOIN,17.640832500000002,18.579024,18.579024,17.8271144,0.3964462377362663,50,10,0,0.0
100000,100000,RLS + Safe View + Short Credential + Audit,GROUP BY,75.0935245,80.254376,80.254376,75.7097518,2.5571024506960134,10,10,0,0.0
100000,100000,RLS + Safe View + Short Credential + Audit,CTE,79.356559,87.138168,87.138168,80.77169,3.732353532990837,10,10,0,0.0
100000,100000,RLS + Safe View + Short Credential + Audit,Window,100.5716045,103.856822,103.856822,100.7370673,1.6617123322352791,50,10,0,0.0
100000,100000,SessionBound wrapper,SELECT,6313.4177185,6543.996953,6543.996953,6299.4602036,116.3868608818803,50,10,0,0.0
100000,100000,SessionBound wrapper,JOIN,6285.926832,6488.166903,6488.166903,6291.0549229,75.90008090356882,50,10,0,0.0
100000,100000,SessionBound wrapper,GROUP BY,6254.2207045,6372.997068,6372.997068,6264.1860326000005,48.04835280003338,10,10,0,0.0
100000,100000,SessionBound wrapper,CTE,6259.502552,6320.358886,6320.358886,6250.4767646,49.22012266675946,10,10,0,0.0
100000,100000,SessionBound wrapper,Window,6136.371754,6289.336897,6289.336897,6169.1141639,64.42067815076787,50,10,0,0.0
100000,100000,SessionBound native hook/executor,SELECT,6242.656286,6437.43697,6437.43697,6264.1918014,102.54303601380202,50,10,0,0.0
100000,100000,SessionBound native hook/executor,JOIN,6342.3467605000005,6539.533019,6539.533019,6341.6707159,113.24243599896758,50,10,0,0.0
100000,100000,SessionBound native hook/executor,GROUP BY,6335.1048515,6502.502745,6502.502745,6339.5718486999995,99.31813824143444,10,10,0,0.0
100000,100000,SessionBound native hook/executor,CTE,6444.1071955,6717.461116,6717.461116,6489.126843399999,108.4889938400083,10,10,0,0.0
100000,100000,SessionBound native hook/executor,Window,6343.712847,6588.610693,6588.610693,6364.2788358,109.8430140212313,50,10,0,0.0
