target_rows,actual_rows,warmup_iterations,measured_iterations,mode,pattern,p50_ms,p95_ms,p99_ms,mean_ms,stddev_ms,rows_returned,measurements,errors,error_rate
1000,1000,10,100,Raw PostgreSQL,SELECT,0.457186,0.61485,0.933777,0.48787082,0.14003311532743817,50,100,0,0.0
1000,1000,10,100,Raw PostgreSQL,JOIN,0.427569,0.548764,0.613028,0.43918359,0.05667351150530466,50,100,0,0.0
1000,1000,10,100,Raw PostgreSQL,GROUP BY,0.7817475,0.990025,1.082471,0.8008229,0.08373745074953022,10,100,0,0.0
1000,1000,10,100,Raw PostgreSQL,CTE,0.8505095,1.044577,1.169523,0.87150082,0.10435256774036564,10,100,0,0.0
1000,1000,10,100,Raw PostgreSQL,Window,1.1629035,1.276668,1.34175,1.15325236,0.08618133154813983,50,100,0,0.0
1000,1000,10,100,Safe-view-only,SELECT,0.634351,0.69996,0.760554,0.63180589,0.04939936123694212,50,100,0,0.0
1000,1000,10,100,Safe-view-only,JOIN,0.6397325,0.756476,0.953697,0.65827512,0.07749722351404341,50,100,0,0.0
1000,1000,10,100,Safe-view-only,GROUP BY,0.9737024999999999,1.150643,1.267321,1.00112863,0.08083604487203157,10,100,0,0.0
1000,1000,10,100,Safe-view-only,CTE,0.989789,1.104277,1.168573,1.00114114,0.06973101081140586,10,100,0,0.0
1000,1000,10,100,Safe-view-only,Window,1.217973,1.358429,1.489402,1.23307536,0.07394419424843576,50,100,0,0.0
1000,1000,10,100,RLS + Safe View + Short Credential + Audit,SELECT,1.3697944999999998,2.344536,2.541445,1.5054763,0.3353772693224304,50,100,0,0.0
1000,1000,10,100,RLS + Safe View + Short Credential + Audit,JOIN,1.3168805,2.167507,2.346275,1.40238179,0.2705365919030287,50,100,0,0.0
1000,1000,10,100,RLS + Safe View + Short Credential + Audit,GROUP BY,1.7921035,2.82063,3.290825,1.92197643,0.39141667935792557,10,100,0,0.0
1000,1000,10,100,RLS + Safe View + Short Credential + Audit,CTE,1.668834,2.6262,2.723845,1.77500699,0.31219383576478554,10,100,0,0.0
1000,1000,10,100,RLS + Safe View + Short Credential + Audit,Window,2.063236,2.741749,3.205577,2.12845217,0.2896715810754329,50,100,0,0.0
1000,1000,10,100,SessionBound wrapper,SELECT,78.7855945,88.7399,92.005329,79.71003639999999,4.250632637558659,50,100,0,0.0
1000,1000,10,100,SessionBound wrapper,JOIN,92.57132250000001,104.38967,111.126457,93.81633192999999,5.425938579555564,50,100,0,0.0
1000,1000,10,100,SessionBound wrapper,GROUP BY,79.4928505,86.606839,89.991386,79.59354504,4.778618685683117,10,100,0,0.0
1000,1000,10,100,SessionBound wrapper,CTE,77.91870800000001,87.358136,94.576411,78.77968288,4.437213116720939,10,100,0,0.0
1000,1000,10,100,SessionBound wrapper,Window,75.63045,85.879269,94.000709,76.70364764,4.361079899842166,50,100,0,0.0
1000,1000,10,100,SessionBound native hook/executor,SELECT,79.80118250000001,87.150198,90.201116,80.42414591,3.422357044956129,50,100,0,0.0
1000,1000,10,100,SessionBound native hook/executor,JOIN,95.52851799999999,106.709152,113.849419,96.80942415,5.027368833292068,50,100,0,0.0
1000,1000,10,100,SessionBound native hook/executor,GROUP BY,80.3502955,91.815526,99.576103,81.69588444,5.383650968795289,10,100,0,0.0
1000,1000,10,100,SessionBound native hook/executor,CTE,82.9963925,92.689718,97.435737,84.03401278999999,4.310022388516697,10,100,0,0.0
1000,1000,10,100,SessionBound native hook/executor,Window,80.522393,92.273371,100.674756,81.80709033,5.087342876912153,50,100,0,0.0
10000,10000,10,100,Raw PostgreSQL,SELECT,2.0452525,2.198222,2.255268,2.0516793300000002,0.09837631136285349,50,100,0,0.0
10000,10000,10,100,Raw PostgreSQL,JOIN,2.0345395,2.781333,4.036082,2.16498546,0.4431576678974972,50,100,0,0.0
10000,10000,10,100,Raw PostgreSQL,GROUP BY,5.926954500000001,6.435329,6.747068,5.97913782,0.2655577838198828,10,100,0,0.0
10000,10000,10,100,Raw PostgreSQL,CTE,6.566803,7.365246,8.141115,6.6258407,0.40641853879412293,10,100,0,0.0
10000,10000,10,100,Raw PostgreSQL,Window,8.755556,9.682892,10.629433,8.84906299,0.5196630163246465,50,100,0,0.0
10000,10000,10,100,Safe-view-only,SELECT,2.821967,3.130843,3.402704,2.84309734,0.18102389509212424,50,100,0,0.0
10000,10000,10,100,Safe-view-only,JOIN,2.8581975,3.611101,4.86907,2.9803254500000005,0.40060458891561324,50,100,0,0.0
10000,10000,10,100,Safe-view-only,GROUP BY,6.8790344999999995,7.724879,8.278844,6.95343669,0.49484389751416946,10,100,0,0.0
10000,10000,10,100,Safe-view-only,CTE,6.803553,7.39392,8.02807,6.86675305,0.3678526217198778,10,100,0,0.0
