pattern,mode,supported,p50_ms,p95_ms,mean_ms,stddev_ms,rows_returned,error_count,reason
Q1 SELECT,M0 Raw PostgreSQL,True,0.229516,0.425844,0.26861496,0.15233101563292487,10,0,
Q1 SELECT,M1 Role-only read-only credential,True,0.2270505,0.36754,0.25850575,0.11832863965476617,10,0,
Q1 SELECT,M2 Safe-view-only,True,0.2326005,0.353185,0.25711388,0.11640714833267585,10,0,
Q1 SELECT,M3 RLS + Safe View + Short Credential + Audit,True,1.066993,1.951792,1.20133781,0.3815283247175154,10,0,
Q1 SELECT,M4 SessionBound without receipts,True,17.074873500000002,19.72737,17.2972659,1.4609317370801793,10,0,
Q1 SELECT,M5 SessionBound without budget updates,True,16.69869,18.13838,16.87795493,0.7747006002545792,10,0,
Q1 SELECT,M6 SessionBound full,True,17.3974325,19.918744,17.70402235,1.3336440612114344,10,0,
Q2 JOIN,M0 Raw PostgreSQL,True,0.201215,0.32111,0.22184933999999998,0.09808711641731752,10,0,
Q2 JOIN,M1 Role-only read-only credential,True,0.18079299999999998,0.286561,0.20026271999999998,0.07845896353866523,10,0,
Q2 JOIN,M2 Safe-view-only,True,0.2085375,0.415139,0.24646753,0.12748316355020806,10,0,
Q2 JOIN,M3 RLS + Safe View + Short Credential + Audit,True,0.9760795,1.976891,1.10831814,0.4083083775186353,10,0,
Q2 JOIN,M4 SessionBound without receipts,True,18.711997500000003,23.196518,19.19973427,1.9619911559392709,10,0,
Q2 JOIN,M5 SessionBound without budget updates,True,18.197189,20.388854,18.31744976,0.9723922159745635,10,0,
Q2 JOIN,M6 SessionBound full,True,18.615882499999998,20.692915,18.8785348,1.376136893805104,10,0,
Q3 GROUP BY,M0 Raw PostgreSQL,True,0.2290755,0.334479,0.24173381,0.10415727272319443,1,0,
Q3 GROUP BY,M1 Role-only read-only credential,True,0.22974650000000002,0.369106,0.25454795,0.11912198792803745,1,0,
Q3 GROUP BY,M2 Safe-view-only,True,0.272316,0.549655,0.30922365,0.16094197178035163,1,0,
Q3 GROUP BY,M3 RLS + Safe View + Short Credential + Audit,True,1.099941,2.016635,1.25971728,0.43076020606019494,1,0,
Q3 GROUP BY,M4 SessionBound without receipts,True,18.098300000000002,20.135433,18.20441822,1.2469037083825485,1,0,
Q3 GROUP BY,M5 SessionBound without budget updates,True,17.1246325,18.856032,17.2173466,0.9302162840458127,1,0,
Q3 GROUP BY,M6 SessionBound full,True,18.289127,20.829565,18.34281127,1.5108928435814821,1,0,
Q4 CTE,M0 Raw PostgreSQL,True,0.251583,0.381285,0.27840191999999997,0.13645261472376996,1,0,
Q4 CTE,M1 Role-only read-only credential,True,0.2376115,0.396763,0.25683321,0.13780582337603117,1,0,
Q4 CTE,M2 Safe-view-only,True,0.25421099999999996,0.490392,0.28434465,0.1569227569065988,1,0,
Q4 CTE,M3 RLS + Safe View + Short Credential + Audit,True,1.0447015,1.956233,1.2005042000000001,0.390283077679471,1,0,
Q4 CTE,M4 SessionBound without receipts,True,16.913778,19.173852,17.16260194,1.0181234715128495,1,0,
Q4 CTE,M5 SessionBound without budget updates,True,17.5977475,19.190352,17.68549107,0.8116913052405238,1,0,
Q4 CTE,M6 SessionBound full,True,17.698159500000003,20.612966,18.00978655,1.355964772537601,1,0,
Q5 window function,M0 Raw PostgreSQL,True,0.250854,0.37592,0.27103183999999997,0.09450976992625894,20,0,
Q5 window function,M1 Role-only read-only credential,True,0.23765,0.434792,0.26616226,0.11294305300341585,20,0,
Q5 window function,M2 Safe-view-only,True,0.28062549999999997,0.468213,0.3057853,0.11539412237332541,20,0,
Q5 window function,M3 RLS + Safe View + Short Credential + Audit,True,1.119231,2.089872,1.24851145,0.3885203691545496,20,0,
Q5 window function,M4 SessionBound without receipts,True,16.8177265,19.175392,17.06782786,1.033348115884594,20,0,
Q5 window function,M5 SessionBound without budget updates,True,17.777765000000002,20.096504,17.89494455,1.2881414167088052,20,0,
Q5 window function,M6 SessionBound full,True,17.639269,19.538345,17.85809354,1.1663632758630083,20,0,
