pattern,mode,supported,p50_ms,p95_ms,mean_ms,stddev_ms,rows_returned,error_count,reason
Q1 SELECT,M0 Raw PostgreSQL,True,0.23332799999999998,0.380241,0.25743148,0.10864776775299895,10,0,
Q1 SELECT,M1 Role-only read-only credential,True,0.228794,0.374207,0.24903421,0.10483651729996518,10,0,
Q1 SELECT,M2 Safe-view-only,True,14.212685,15.977308,14.41898951,1.0038147319079003,10,0,
Q1 SELECT,M3 RLS-only,False,,,,,,,Not supported by current prototype.
Q1 SELECT,M4 SessionBound without receipts,True,14.899178,16.62555,15.092592360000001,1.280910387507452,10,0,
Q1 SELECT,M5 SessionBound without budget updates,True,14.333179999999999,16.023015,14.51915208,1.119422732170503,10,0,
Q1 SELECT,M6 SessionBound full,True,14.630395499999999,17.650578,14.995776370000002,1.3841660024011977,10,0,
Q2 JOIN,M0 Raw PostgreSQL,True,0.18207099999999998,0.274048,0.19256341,0.07500720299532505,10,0,
Q2 JOIN,M1 Role-only read-only credential,True,0.1711365,0.312372,0.19456154,0.08778399359637497,10,0,
Q2 JOIN,M2 Safe-view-only,True,18.0924945,21.511725,18.413998019999998,1.7014110710250008,10,0,
Q2 JOIN,M3 RLS-only,False,,,,,,,Not supported by current prototype.
Q2 JOIN,M4 SessionBound without receipts,True,18.4965135,20.253791,18.61592312,0.9688295221682427,10,0,
Q2 JOIN,M5 SessionBound without budget updates,True,18.237917500000002,21.257688,18.67910475,1.3089387429755786,10,0,
Q2 JOIN,M6 SessionBound full,True,18.580982,22.219759,19.05038758,1.9411544106011462,10,0,
Q3 GROUP BY,M0 Raw PostgreSQL,True,0.193147,0.272935,0.20119658999999998,0.07602897428613581,24,0,
Q3 GROUP BY,M1 Role-only read-only credential,True,0.1688175,0.338812,0.20225979,0.10656572839710664,24,0,
Q3 GROUP BY,M2 Safe-view-only,True,13.296495,14.462607,13.39402836,0.6460883357109231,24,0,
Q3 GROUP BY,M3 RLS-only,False,,,,,,,Not supported by current prototype.
Q3 GROUP BY,M4 SessionBound without receipts,True,14.840061500000001,21.525208,15.8292841,2.8489952809199335,24,0,
Q3 GROUP BY,M5 SessionBound without budget updates,True,15.0742335,17.101508,15.31256577,1.3281992942418532,24,0,
Q3 GROUP BY,M6 SessionBound full,True,15.023999,19.610049,15.55739604,1.7495332400895554,24,0,
Q4 CTE,M0 Raw PostgreSQL,True,0.1759425,0.279121,0.20028441,0.10818310150916316,21,0,
Q4 CTE,M1 Role-only read-only credential,True,0.1747755,0.27954,0.19740349,0.10586936957831523,21,0,
Q4 CTE,M2 Safe-view-only,True,13.524916000000001,15.976595,13.83606828,1.1478594784299432,21,0,
Q4 CTE,M3 RLS-only,False,,,,,,,Not supported by current prototype.
Q4 CTE,M4 SessionBound without receipts,True,14.529326999999999,15.678131,14.52897084,0.6864072760417057,21,0,
Q4 CTE,M5 SessionBound without budget updates,True,15.098265999999999,17.267787,15.30148863,1.187616797068976,21,0,
Q4 CTE,M6 SessionBound full,True,15.424557,18.805075,15.937171020000001,1.9628482958274027,21,0,
Q5 window function,M0 Raw PostgreSQL,True,0.351035,0.458613,0.3671144,0.08532611693942248,20,0,
Q5 window function,M1 Role-only read-only credential,True,0.346783,0.504099,0.36570571,0.09618327654164158,20,0,
Q5 window function,M2 Safe-view-only,True,13.8279995,15.518693,13.96081806,0.9551924908595631,20,0,
Q5 window function,M3 RLS-only,False,,,,,,,Not supported by current prototype.
Q5 window function,M4 SessionBound without receipts,True,15.089269,17.196708,15.392997040000001,1.5523542838326625,20,0,
Q5 window function,M5 SessionBound without budget updates,True,14.8515885,16.216031,14.93457785,0.7666930766582722,20,0,
Q5 window function,M6 SessionBound full,True,15.8542565,19.368621,16.2644384,1.5822791442631292,20,0,
