target_rows,actual_rows,baseline,pattern,p50_ms,p95_ms,mean_ms,stddev_ms,rows_returned,errors,overhead_vs_raw_pct
1000,1000,Raw PostgreSQL,aggregate_by_category,0.40693899791222066,0.5352659936761484,0.4284143971744925,0.06393660185815785,10,0,0.0
1000,1000,Raw PostgreSQL,topk_order,0.4028850089525804,0.6483899924205616,0.42633459670469165,0.11864603401831224,10,0,0.0
1000,1000,Role-only,aggregate_by_category,0.44867300312034786,0.540174005436711,0.43978220492135733,0.06902266837888865,10,0,10.25559246526908
1000,1000,Role-only,topk_order,0.36166899371892214,0.47743799223098904,0.3624443954322487,0.07594617790070564,10,0,-10.23021813117633
1000,1000,Safe-view-only,aggregate_by_category,0.5952729989076033,0.7491630094591528,0.5931572028202936,0.10111774440140575,10,0,46.28064696714261
1000,1000,Safe-view-only,topk_order,0.5301739874994382,0.7936110050650313,0.5400435999035835,0.1394381128719504,10,0,31.594369539284532
1000,1000,RLS-only,aggregate_by_category,0.38782200135756284,0.6176440074341372,0.43282620317768306,0.10005283922513895,10,0,-4.697754860737499
1000,1000,RLS-only,topk_order,0.42603100882843137,0.6730930035701022,0.47109520237427205,0.10492105890274503,10,0,5.745063569385691
1000,1000,Full SessionBound,aggregate_by_category,84.40542400057893,94.59710000373889,85.2098325965926,4.978365830408679,10,0,20641.542205002854
1000,1000,Full SessionBound,topk_order,82.44272299634758,106.27908199967351,88.792473601643,9.42480846509857,10,0,20363.090252646034
10000,10000,Raw PostgreSQL,aggregate_by_category,2.6954659988405183,2.9023179959040135,2.676736601279117,0.16298329642709022,10,0,0.0
10000,10000,Raw PostgreSQL,topk_order,2.5377730053151026,2.8312089998507872,2.553434600122273,0.1693285119174899,10,0,0.0
10000,10000,Role-only,aggregate_by_category,2.629358001286164,2.9647409974131733,2.723168602096848,0.19321629203322188,10,0,-2.4525628437825366
10000,10000,Role-only,topk_order,2.610317009384744,2.7959049912169576,2.6387925987364724,0.11513613239039754,10,0,2.8585694590377204
10000,10000,Safe-view-only,aggregate_by_category,3.7585390091408044,4.128271000809036,3.6863328045001253,0.28199972113733035,10,0,39.439303287727526
10000,10000,Safe-view-only,topk_order,3.3165330096380785,3.5344459902262315,3.350557596422732,0.14027534570373842,10,0,30.68674789636204
10000,10000,RLS-only,aggregate_by_category,2.3818799963919446,2.461698997649364,2.352260399493389,0.10296198689598764,10,0,-11.633832613116466
10000,10000,RLS-only,topk_order,2.3921470128698274,2.4355430068681017,2.356877806596458,0.0754078998677006,10,0,-5.738337989263682
10000,10000,Full SessionBound,aggregate_by_category,688.6595749965636,734.6006120060338,687.5414179987274,29.48916368202722,10,0,25448.813277288507
10000,10000,Full SessionBound,topk_order,661.6239879949717,694.3518390035024,670.60918979696,16.489162129209465,10,0,25971.046803999758
100000,100000,Raw PostgreSQL,aggregate_by_category,14.772738999454305,15.166355995461345,14.789356794790365,0.32305600859175376,10,0,0.0
100000,100000,Raw PostgreSQL,topk_order,15.624389998265542,28.98928298964165,18.190491199493408,5.410673224437139,10,0,0.0
100000,100000,Role-only,aggregate_by_category,17.55004801088944,18.389810997177847,17.414394998922944,0.8966854548837359,10,0,18.800230692072255
100000,100000,Role-only,topk_order,15.654389004339464,15.910414993413724,15.643971602548845,0.23766560090269132,10,0,0.19200113461870894
100000,100000,Safe-view-only,aggregate_by_category,29.95523900608532,33.41181699943263,30.718231198261492,1.4387268484622437,10,0,102.77376461597167
100000,100000,Safe-view-only,topk_order,32.39401799510233,34.098479009117,32.29533139965497,1.3898179721663222,10,0,107.32980934742655
100000,100000,RLS-only,aggregate_by_category,15.082910991623066,16.1135899979854,15.260361199034378,0.471105806587318,10,0,2.099624126441409
100000,100000,RLS-only,topk_order,14.60772099380847,15.307027992093936,14.800507796462625,0.3436715120170455,10,0,-6.506935660015728
100000,100000,Full SessionBound,aggregate_by_category,6742.551713992725,7047.145019998425,6785.384509598953,147.85807477411043,10,0,45541.8522945663
100000,100000,Full SessionBound,topk_order,6965.090199999395,7149.475412006723,6944.750292599201,195.47270955914368,10,0,44478.317622464536
