baseline,pattern,p50_ms,p95_ms,mean_ms,stddev_ms,rows,errors,overhead_vs_raw_pct
Raw PostgreSQL,SELECT,0.10267250036122277,0.2277859894093126,0.1295898892567493,0.049108122070326325,3,0,0.0
Raw PostgreSQL,JOIN,0.1034105007420294,0.22298299882095307,0.13208754899096675,0.05878923767484362,3,0,0.0
Raw PostgreSQL,GROUP BY,0.10818999726325274,0.24872699577827007,0.13514847043552436,0.05668799458256268,1,0,0.0
Raw PostgreSQL,CTE,0.10162300895899534,0.21460899733938277,0.12597294087754562,0.046842093651837786,1,0,0.0
Raw PostgreSQL,Window,0.14775800082134083,0.26872899616137147,0.17129612024291418,0.048927125645052486,5,0,0.0
Role-only,SELECT,0.10515649773878977,0.1845780061557889,0.12665509973885491,0.046736108492191716,3,0,2.4193404941223644
Role-only,JOIN,0.09578750177752227,0.1951140002347529,0.11596444164752029,0.03544157694440363,3,0,-7.371590805389938
Role-only,GROUP BY,0.11824050307041034,0.24903099983930588,0.139795560244238,0.0515668666438051,1,0,9.289681173299474
Role-only,CTE,0.09481250162934884,0.19251999037805945,0.11456082909717225,0.04011816812358285,1,0,-6.701737529140199
Role-only,Window,0.19417599105508998,0.2721939963521436,0.20172917065792717,0.06781020861101791,5,0,31.414874305097502
Safe-view-only,SELECT,0.20307650265749544,0.2737460017669946,0.19761891977395862,0.052400807894030295,3,0,97.79054950744448
Safe-view-only,JOIN,0.18958849250338972,0.2578290004748851,0.19193867105059326,0.046536415287295047,3,0,83.33582290288125
Safe-view-only,GROUP BY,0.2011499964282848,0.2908570022555068,0.20457180013181642,0.04886179738716356,1,0,85.92291479482861
Safe-view-only,CTE,0.18055500549962744,0.24238700279965997,0.17930758171132766,0.04177442114451896,1,0,77.6713830353921
Safe-view-only,Window,0.2525730014895089,0.31884700001683086,0.2503970499674324,0.04535376425452589,5,0,70.9369374825959
RLS-only,SELECT,0.15547049406450242,0.20378500630613416,0.15503706919844262,0.03421090905767389,3,0,51.42369526165774
RLS-only,JOIN,0.16425649664597586,0.22610201267525554,0.1660388107120525,0.03737051258769035,3,0,58.8392817628207
RLS-only,GROUP BY,0.18735150661086664,0.25129599089268595,0.18701834022067487,0.05609064996741531,1,0,73.1689725021386
RLS-only,CTE,0.1461970023228787,0.22022500343155116,0.1490156505315099,0.03696116910239846,1,0,43.86210743067926
RLS-only,Window,0.21729050058638677,0.2942300052382052,0.22153357000206597,0.047883795462685466,5,0,47.05836528549139
Full SessionBound,SELECT,21.356391509470996,24.534512995160185,21.767796039639506,2.1307051269004553,3,0,20700.498122023775
Full SessionBound,JOIN,22.176054502779152,25.08395900076721,22.759681039460702,2.711569903063735,3,0,21344.683415758842
Full SessionBound,GROUP BY,21.151518500118982,28.53852100088261,22.00860306082177,2.5708291211527383,1,0,19450.345720641955
Full SessionBound,CTE,20.856857496255543,23.247333010658622,21.04718845934258,1.3959398809779267,1,0,20423.75511206447
Full SessionBound,Window,21.27121949888533,26.652266999008134,21.618133750162087,2.145548950778733,5,0,14295.984908191249
